"","x"
"1",-9009.168
"2",-9094.748
"3",-9097.659
"4",-8678.145
"5",-8687.004
"6",-9114.182
"7",-8650.27
"8",-8960.277
"9",-8868.101
"10",-8949.069
"11",-8742.14
"12",-8967.093
"13",-8865.539
"14",-8797.956
"15",-8824.891
"16",-8714.576
"17",-8893.915
"18",-8918.513
"19",-8926.746
"20",-8718.072
"21",-8958.479
"22",-8733.754
"23",-9000.681
"24",-9026.527
"25",-9047.958
"26",-9041.054
"27",-8821.517
"28",-8968.46
"29",-8922.373
"30",-8843.972
"31",-9080.683
"32",-8913.726
"33",-9010.667
"34",-9097.589
"35",-9102.956
"36",-8774.898
"37",-8869.848
"38",-9127.412
"39",-8869.933
"40",-8996.292
"41",-8914.763
"42",-9081.929
"43",-9050.947
"44",-8866.084
"45",-8764.376
"46",-8697.914
"47",-9190.681
"48",-8685.377
"49",-8727.135
"50",-9043.409
"51",-8934.261
"52",-8956.339
"53",-8806.961
"54",-8840.265
"55",-8807.921
"56",-8774.132
"57",-8853.593
"58",-9090.921
"59",-9253.492
"60",-8916.33
"61",-8872.334
"62",-9156.83
"63",-8996.614
"64",-8920.965
"65",-8778.335
"66",-9031.825
"67",-8900.575
"68",-8891.964
"69",-9122.046
"70",-9289.244
"71",-8939.695
"72",-8973.974
"73",-8969.725
"74",-8909.996
"75",-9078.802
"76",-8916.229
"77",-8771.131
"78",-8795.389
"79",-8748.564
"80",-8817.855
"81",-8925.053
"82",-8906.734
"83",-8754.206
"84",-8758.631
"85",-8814.537
"86",-9094.328
"87",-8874.32
"88",-8577.215
"89",-8746.864
"90",-8718.468
"91",-8784.149
"92",-8769.124
"93",-8865.146
"94",-8965.245
"95",-8943.246
"96",-8886.826
"97",-8848.525
"98",-8838.368
"99",-8805.189
"100",-8784.281
"101",-8984.298
"102",-9165.278
"103",-9193.809
"104",-9005.872
"105",-9074.027
"106",-8692.196
"107",-8848.597
"108",-9192.744
"109",-8886.099
"110",-9027.67
"111",-8708.898
"112",-8829.14
"113",-9039.249
"114",-8930.158
"115",-8804.099
"116",-9001.489
"117",-9044.755
"118",-8958.436
"119",-8802.702
"120",-9137.907
"121",-9123.423
"122",-8810.029
"123",-8857.603
"124",-9110.581
"125",-8860.948
"126",-9086.734
"127",-9136.78
"128",-9074.968
"129",-8798.556
"130",-8914.677
"131",-8968.86
"132",-9028.145
"133",-8822.911
"134",-8901.07
"135",-8907.641
"136",-8666.459
"137",-9036.79
"138",-8950.258
"139",-9192.127
"140",-8912.85
"141",-8728.208
"142",-8803.383
"143",-9161.892
"144",-9018.884
"145",-8889.044
"146",-8844.778
"147",-9013.602
"148",-8753.281
"149",-8942.678
"150",-9115.355
"151",-9086.028
"152",-8860.338
"153",-8946.733
"154",-8885.875
"155",-8856.317
"156",-9034.658
"157",-8812.03
"158",-8718.688
"159",-8979.93
"160",-8765.72
"161",-8904.691
"162",-8889.59
"163",-9210.043
"164",-8714.581
"165",-9112.463
"166",-8817.772
"167",-8775.461
"168",-8810.574
"169",-9051.459
"170",-8987.497
"171",-8981.76
"172",-8999.747
"173",-9296.829
"174",-8959.759
"175",-8982.761
"176",-8853.089
"177",-8849.879
"178",-9032.715
"179",-9023.475
"180",-8852.663
"181",-8971.526
"182",-8699.251
"183",-8921.274
"184",-9180.426
"185",-8961.741
"186",-8903.75
"187",-8854.881
"188",-8951.697
"189",-8863.332
"190",-9025.567
"191",-9032.74
"192",-8856.546
"193",-9091.557
"194",-9201.092
"195",-8984.792
