"","x"
"1",-8812.94
"2",-9007.858
"3",-9134.443
"4",-8787.113
"5",-8716.576
"6",-8827.007
"7",-8733.25
"8",-9097.306
"9",-8822.472
"10",-8824.767
"11",-8952.009
"12",-8735.329
"13",-8845.764
"14",-8904.379
"15",-8771.769
"16",-9191.143
"17",-8854.41
"18",-9085.144
"19",-8961.236
"20",-8878.059
"21",-8802.049
"22",-8943.838
"23",-8945.729
"24",-8846.296
"25",-8831.826
"26",-8851.253
"27",-9071.431
"28",-9123.967
"29",-9032.945
"30",-8868.209
"31",-9054.823
"32",-8942.615
"33",-8972.067
"34",-8817.479
"35",-8914.224
"36",-8807.648
"37",-9006.978
"38",-8684.646
"39",-9163.218
"40",-8776.624
"41",-8894.985
"42",-9145.976
"43",-8858.751
"44",-8820.917
"45",-8976.689
"46",-8898.767
"47",-9034.778
"48",-8754.846
"49",-8746.632
"50",-9039.782
"51",-8820.532
"52",-8792.493
"53",-8675.625
"54",-9072.787
"55",-8852.513
"56",-8758.11
"57",-9027.349
"58",-9001.827
"59",-8902.689
"60",-9074.299
"61",-9074.914
"62",-9160.332
"63",-8850.807
"64",-8999.292
"65",-8998.299
"66",-9161.305
"67",-8871.403
"68",-8778.571
"69",-9306.698
"70",-8820.741
"71",-9203.609
"72",-8816.982
"73",-8748.208
"74",-9066.92
"75",-9048.444
"76",-9101.25
"77",-8769.073
"78",-8939.015
"79",-8937.819
"80",-9016.872
"81",-8908.982
"82",-9000.434
"83",-8895.926
"84",-8755.754
"85",-8954.984
"86",-8933.625
"87",-8850.156
"88",-9006.785
"89",-8892.466
"90",-8605.112
"91",-9030.578
"92",-8716.592
"93",-8724.259
"94",-8979.775
"95",-9214.259
"96",-9001.485
"97",-8959.663
"98",-8978.796
"99",-8938.327
"100",-8833.558
"101",-9060.156
"102",-8832.252
"103",-8966.047
"104",-9084.478
"105",-8970.284
"106",-8786.692
"107",-8676.684
"108",-9059.977
"109",-8892.929
"110",-8606.836
"111",-8718.18
"112",-8870.511
"113",-8828.71
"114",-9025.324
"115",-9059.171
"116",-8893.358
"117",-9048.024
"118",-8797.412
"119",-8996.461
"120",-8829.173
"121",-8735.135
"122",-8810.554
"123",-8660.294
"124",-8853.633
"125",-8764.635
"126",-9189.778
"127",-8792.823
"128",-9166.037
"129",-8805.777
"130",-8787.621
"131",-8842.603
"132",-9098.436
"133",-8688.162
"134",-8764.14
"135",-8749.001
"136",-8963.877
"137",-8689.362
"138",-8958.644
"139",-8737.747
"140",-8839.02
"141",-8828.631
"142",-8996.849
"143",-8492.107
"144",-8944.484
"145",-8822.717
"146",-8647.542
"147",-8835.498
"148",-9071.172
"149",-9137.752
"150",-8737.051
"151",-8976.831
"152",-8877.277
"153",-8745.404
"154",-8849.985
"155",-8987.716
"156",-9048.304
"157",-8912.451
"158",-8916.299
"159",-9046.707
"160",-8996.851
"161",-8824.597
"162",-8742.416
"163",-8758.71
"164",-9211.928
"165",-8906.563
"166",-9065.881
"167",-8778.413
"168",-8724.073
"169",-8717.222
"170",-8787.196
"171",-8648.365
"172",-8768.953
"173",-8984.938
"174",-9043.561
"175",-9001.914
"176",-8734.592
"177",-8568.561
"178",-8855.122
"179",-8893.882
"180",-9184.315
"181",-8873.612
"182",-9243.167
"183",-8928.059
"184",-8896.075
"185",-8858.911
"186",-8793.725
"187",-9023.928
"188",-8569.365
"189",-8726.787
"190",-8786.659
"191",-8822.313
"192",-8870.082
"193",-8758.414
"194",-8787.871
"195",-8806.917
"196",-8645.716
"197",-9056.183
"198",-9021.78
"199",-8995.27
"200",-8833.969
"201",-8863.681
"202",-8760.697
"203",-8792.812
"204",-8763.677
"205",-8880.558
"206",-9057.787
"207",-9043.509
"208",-9047.428
"209",-8750.115
"210",-9022.335
"211",-9355.291
"212",-8925.066
"213",-8808.88
"214",-8810.451
"215",-8881.944
"216",-8890.002
"217",-8870.382
"218",-9140.845
"219",-9020.731
"220",-8990.723
"221",-8646.974
"222",-8938.07
"223",-8633.167
"224",-8831.204
"225",-8702.919
"226",-9018.488
"227",-8936.415
"228",-8885.526
"229",-8849.941
"230",-8933.832
"231",-8929.805
"232",-8853.342
"233",-8776.583
"234",-8959.341
"235",-8944.811
"236",-8999.451
"237",-9020.786
"238",-8674.991
"239",-8700.237
"240",-9269.234
"241",-8991.532
"242",-8637.951
"243",-9045.152
"244",-9054.016
"245",-9034.908
"246",-8904.767
"247",-9058.754
"248",-9165.059
